name,bouts,KOs
ENDER LUCES,17,82.35
SEBASTIAN HORACIO PAPESCHI,22,27.27
AKZHOL SULAIMANBEK UULU,18,50
SHOKI SAKAI,41,34.15
YAMAGUCHI FALCAO,25,36
HADILLAH MOHOUMADI,30,53.33
JINKI MAEDA,10,50
JACK BATESON,17,23.53
BRYAN MERCADO VAZQUEZ,23,73.91
SULTAN ZAURBEK,13,69.23
SIMONE FEDERICI,22,36.36
ANGEL CRUZ JOHNSON,8,87.5
YVES NGABU,23,65.22
MIKE GUY,21,23.81
HECTOR TANAJARA,21,23.81
ABNER MARES,36,41.67
ANTHONY YOUNG,25,32
TRAMAINE WILLIAMS,22,27.27
DANIELE SCARDINA,21,76.19
RAY SEITZHANOV,10,60
HECTOR ANDRES SOSA,15,53.33
FRAN MENDOZA,14,50
ALBERTO EZEQUIEL MELIAN,12,41.67
JESUS RUIZ GARCIA,57,54.39
GIDEON BUTHELEZI,29,17.24
OSCAR COLLAZO,5,60
DAVID MORENO POTRERO,13,61.54
MAREK MATYJA,25,36
SAMUEL ANTWI,15,40
GIANLUCA PAPPALARDO,10,20
DYLAN PRICE,16,62.5
DARRAGH FOLEY,25,36
ARMANDO RAMIREZ ALMANZA,10,30
FRANCK PETITJEAN,32,18.75
JOSE MACIAS ENRIQUEZ,18,38.89
JEAN JACQUES OLIVIER,16,62.5
KEVIN GONZALEZ,26,50
ELNUR ABDURAIMOV,10,90
KEVIN SALGADO ZAMBRANO,16,56.25
PRINCE DLOMO,28,21.43
SULAIMAN SEGAWA,18,22.22
ANGEL NICOLAS AQUINO,15,26.67
MATEUS HEITA,7,42.86
JOHN MANNU,7,57.14
STEVEN BUTLER,35,74.29
LOIC TAJAN,9,55.56
JONATHAN RODRIGUEZ,26,61.54
JONATHAN GUIDRY,21,52.38
TSUBASA KOURA,17,58.82
BRIAN MENDOZA,22,63.64
MOVLADDIN BIYARSLANOV,11,81.82
PATRICK TEIXEIRA,35,62.86
ALIU BAMIDELE LASISI,17,47.06
AGRON SMAKICI,20,85
RICARDO MALAJIKA,11,63.64
THOMAS PATRICK WARD,34,14.71
RYO NAKAI,7,28.57
ELIJAH PIERCE,16,75
MICHAEL POLITE COFFIE,15,66.67
JAMA SAIDI,23,30.43
WILFREDO FLORES,11,45.45
ROMAN FRESS,16,56.25
ISRAEL RODRIGUEZ PICAZO,29,55.17
RENZ ROSIA,27,33.33
KAMIL GARDZIELIK,15,20
ENRIQUE VIVAS,24,45.83
ISAIAS LUCERO,15,60
RAFAEL GUZMAN LUGO,31,51.61
RYO HINO,19,47.37
KRIS TERZIEVSKI,13,61.54
SEIRYU TOSHIKAWA,20,40
BRYAN CHEVALIER,19,68.42
SIPHAMANDLA BALENI,27,25.93
ARCHIE SHARP,22,40.91
CESAR MATEO TAPIA,14,64.29
LUCAS BROWNE,34,79.41
PAUL GALLEN,17,47.06
FRENCY FORTUNATO SAYA,15,66.67
FROILAN SALUDAR,39,56.41
JADIER HERRERA,8,75
DANA COOLWELL,10,60
AARON SILVA,10,70
AZAEL VILLAR,23,65.22
DANNY BALL,13,30.77
EMRE CUKUR,20,15
RYUYA TSUGAWA,10,50
MUKHAMMAD SHEKHOV,12,25
FRANCISCO FONSECA,35,68.57
ALEX DILMAGHANI,23,30.43
DZMITRY ASANAU,4,50
JORGE COTA,36,75
JOSHUA OLUWASEUN WAHAB,22,68.18
RALFS VILCANS,14,35.71
TY TELFORD,10,40
RONNY LANDAETA,22,50
JIN SASAKI,14,78.57
OLIMJON NAZAROV,33,45.45
ARTEM OGANESYAN,14,78.57
RIZVAN ELIKHANOV,13,92.31
ALAN PICASSO ROMERO,22,45.45
YUKI NAGANO,23,65.22
PEDRO BERNAL RODRIGUEZ,13,23.08
ANSELMO MORENO,48,29.17
TOMAS ROJAS,75,45.33
ASROR VOKHIDOV,11,54.55
VLAD PANIN,16,50
MICHELL BANQUEZ,22,63.64
FABIO WARDLEY,14,92.86
FRANCO MAXIMILIANO OCAMPO,18,44.44
LUCA RIGOLDI,31,29.03
LOUIS GREENE,17,47.06
NAWAPHON KAIKANHA,58,79.31
MARCOS VILLASANA,34,44.12
MATIAS CARLOS ADRIAN RUEDA,39,82.05
HOPEY PRICE,8,37.5
MYKQUAN WILLIAMS,19,42.11
CHARLY SUAREZ,12,58.33
RYAN KARL,23,52.17
JESUS ARECHIGA VALDEZ,17,76.47
EDIVALDO ORTEGA,32,43.75
CLAUDIO GABRIEL DANEFF,19,42.11
FRADIMIL MACAYO,18,77.78
MOHAMED KANI,23,0
JOSE ARMANDO VALDES BERNAL,18,22.22
PHOOBADIN YOOHANNGOH,14,64.29
APRIL JAY ABNE,11,45.45
KAMIL LASZCZYK,30,36.67
KEITH HUNTER,16,56.25
CHRIS JENKINS,32,25
CHRISTIAN GOMEZ,26,76.92
ORESTES VELAZQUEZ,5,100
IAN GREEN,18,61.11
JUAN ANTONIO RODRIGUEZ,41,68.29
EDY VALENCIA MERCADO,34,20.59
DAKOTA LINGER,21,42.86
CHORDALE BOOKER,18,38.89
JOSUE VARGAS,23,39.13
FRANCIS VILLAR FROMETA,16,62.5
AHMED ELBIALI,23,78.26
DAMIAN WRZESINSKI,30,23.33
ADRIAN CURIEL DOMINGUEZ,24,12.5
ALESSIO LORUSSO,24,25
EDWARD VAZQUEZ,14,21.43
JOSE LUIS RODRIGUEZ GUERRERO,20,40
DMITRII KHASIEV,18,33.33
BRIAN CEBALLO,13,53.85
JHONY NAVARRETE,55,27.27
LISANDRO BARAZARTE,9,55.56
FLAVIUS BIEA,22,45.45
HIROYA NOJIMA,11,45.45
JAMES BERNADIN,8,50
ROKHMAN AKHMETKHANOV,4,100
NIKODEM JEZEWSKI,26,38.46
ABRAHAM MONTOYA,25,56
KHUSEYN BAYSANGUROV,21,85.71
JARED ANDERSON,12,100
SHERVANTAIGH KOOPMAN,10,70
DILAN PRASOVIC,18,66.67
CHRISTIAN OLIVO BARREDA,21,33.33
ALEXANDER DURAN,21,33.33
VYACHESLAV SHABRANSKYY,24,70.83
TAKUYA WATANABE,50,44
TIMO SCHWARZKOPF,26,50
FUMIYA FUSE,13,7.69
KATSUYA FUKUI,4,75
LITO DANTE,34,32.35
LEON BUNN,18,50
MANUEL JAIMES,14,71.43
KARIM GUERFI,38,23.68
NICK HANNIG,12,41.67
TAKU KUWAHARA,11,54.55
HAYATE KAJI,17,52.94
APINUN KHONGSONG,22,77.27
ERICK ROSA,5,20
JAE WOO LEE,11,63.64
NIZAR TRIMECH,14,28.57
FELIX MONTENEGRO,22,36.36
ROBERTO ARRIAZA,22,63.64
GARY O'SULLIVAN,36,58.33
JADE BORNEA,18,66.67
YEVGENIY PAVLOV,7,71.43
MICHAEL EIFERT,12,33.33
SORA FUKUNAGA,11,45.45
BEK NURMAGANBET,7,71.43
YUSUF KANGUEL,27,51.85
YANGA SIGQIBO,19,26.32
GONZALO GASTON CORIA,26,30.77
MALIK ZINAD,20,80
AVNI YILDIRIM,29,44.83
ALESSANDRO RIGUCCINI,27,85.19
HOMURA FUJITA,10,70
CESAR SORIANO LOZADA,23,56.52
CRISTIAN CRUZ CHACON,26,38.46
GONTE LEE,5,40
HOSEA BURTON,29,41.38
BRYAN ACOSTA,19,36.84
DEVIS BOSCHIERO,58,37.93
YAMATO HATA,13,84.62
JUAN HERNAN LEAL,18,22.22
TRE'SEAN WIGGINS,22,36.36
JERMAINE FRANKLIN,21,66.67
BRANDON COOK,25,64
CHARLES HATLEY,34,61.76
BERNARD ANGELO TORRES,17,41.18
YUNIESKI GONZALEZ,25,68
BRAD FOSTER,18,27.78
JOSE MATIAS ROMERO,28,32.14
JONATHAN ALONSO,23,30.43
HASANBOY DUSMATOV,5,100
ROMERO DUNO,28,71.43
JAKE WYLLIE,7,85.71
JHONNY GONZALEZ,80,70
OLEKSANDR IVANOV,23,34.78
MAYCO EZEQUIEL ESTADELLA,11,36.36
SHO KIMURA,25,48
ERICK ENCINIA,23,26.09
ISAAC AVELAR,21,47.62
YOURI KAYEMBRE KALENGA,34,58.82
JAYSON VELEZ,40,52.5
MILAN PRAT,18,77.78
TONY LUIS,35,28.57
JUAN PABLO ROMERO,15,60
FIRAT ARSLAN,64,57.81
ERICK OMAR LOPEZ,24,41.67
HOVHANNES BACHKOV,3,66.67
ERICK DE LEON,21,57.14
IVAN NIKONOV,8,25
DAVIDE FARACI,17,41.18
SERGEY LUBKOVICH,14,71.43
MIGUEL FLORES,30,40
HIRONOBU MATSUNAGA,22,59.09
DAISUKE WATANABE,20,35
WINFRED HARRIS JR,25,40
PETE APOLINAR,19,52.63
HIROKI HANABUSA,15,20
MISAEL CABRERA URIAS,13,69.23
KATSUYA YASUDA,10,60
JOSE ANGEL NAPOLES,16,37.5
LESTER MARTINEZ,12,83.33
JONATHAN ESCOBEDO MARTINEZ,14,28.57
AARON COLEY,21,33.33
BANGILE NYANGANI,14,42.86
ANDREW TABITI,21,76.19
PAUL VALENZUELA CUESTA,39,43.59
KYONOSUKE KAMEDA,12,50
RICHARD PUMICPIC,38,18.42
RENE MARK CUARTO,25,44
KARO MURAD,39,58.97
RENTARO KIMURA,6,50
BRADLEY REA,14,35.71
LEOSDAN NUNEZ,15,33.33
SERGEI EKIMOV,22,40.91
EDGARD MOSKVICHEV,19,26.32
MARK VICELLES,18,55.56
RYAN FORD,25,48
BROCK JARVIS,20,90
MIKALAI VESIALOU,15,33.33
PEDRO TADURAN,19,57.89
JOSE TITO SANCHEZ,9,55.56
KEVIN JOHNSON,13,53.85
ANGEL RUIZ ASTORGA,20,60
RAMON AVERANGA,13,53.85
MASAYOSHI HASHIZUME,22,50
DENNIS CONTRERAS,37,59.46
YUKINORI OGUNI,25,32
EDUARDO NUNEZ,23,95.65
EDGAR GHUKASYAN,14,35.71
JAKRAWUT MAJUNGOEN,45,46.67
JOEL CORDOVA,21,14.29
GUSTAVE TAMBA,19,63.16
EDWIN PALOMARES,23,39.13
JOSE OLMEDA ROBLES,21,61.9
ERIC GAMBOA,23,47.83
ENRICO KOELLING,33,27.27
BRIAN NORMAN JR,23,82.61
DYLAN BREGEON,15,20
MAXIM PRODAN,23,65.22
JACKSON MARINEZ,22,31.82
KENT CRUZ,18,55.56
MEKHRUBON SANGINOV,14,71.43
BIENVENIDO LIGAS,19,47.37
ALEXANDER DEVYATOV,14,92.86
JONATHAN JAVIER FIERRO,14,85.71
JUAN CARLOS BURGOS,43,48.84
CONNOR COYLE,17,41.18
HASSAN AMZILE,4,25
LUIS FELICIANO,16,50
FAZLIDDIN GAIBNAZAROV,11,54.55
HUGO HERNANDEZ,27,29.63
TYLER DENNY,19,0
WESLEY FERRER,19,42.11
JOSE LUIS NAVARRO,6,100
OGANES USTYAN,9,33.33
MALIEK MONTGOMERY,14,92.86
RIVER WILSON-BENT,14,35.71
MUHSIN CASON,10,70
ALANTEZ FOX,33,39.39
RIDWAN OYEKOLA,11,45.45
YAHIR ALAN FRANK VERDUGO,10,70
JONATHAN JOSE ENIZ,48,25
LEON HARTH,26,50
REGIE SUGANOB,12,33.33
EDUARDO LEONEL RODRIGUEZ,13,38.46
TURSYNBAY KULAKHMET,5,60
PATRICK WOJCICKI,16,37.5
CHANN THONSON,11,72.73
DAIKI KAMEYAMA,15,20
MARK CHAMBERLAIN,11,63.64
LUKASZ WIERZBICKI,22,31.82
DEJAN ZLATICANIN,28,57.14
STANISLAV KUTIN,12,66.67
DALTON SMITH,12,83.33
CESAR JUAREZ,39,51.28
EDUARD TROYANOVSKY,33,75.76
ANTHONY PETERSON,42,59.52
KANTARO JURI,5,40
MASAYA TAMAYAMA,17,47.06
LENIER PERO,8,62.5
JACOB NG,16,68.75
JUN IKEGAWA,4,25
MAXIM CERNICIUC,4,25
MICHAEL DASMARINAS,36,58.33
TASANA SALAPAT,68,73.53
MARK FLANAGAN,35,54.29
JUAN CARLOS CAMACHO,16,43.75
JORGE OROZCO MENDOZA,22,50
JIMERR ESPINOSA,13,84.62
VIKTOR VYKHRYST,10,70
THOMAS FAURE,26,7.69
ELIE KONKI,14,7.14
JIN MINAMIDE,8,62.5
TIBO MONABESA,25,32
SIPHOSETHU MVULA,21,33.33
JHACK TEPORA,25,72
MELVIN JERUSALEM,21,52.38
AKIRA HOSHUYAMA,8,50
NESLAN MACHADO,19,42.11
RADIVOJE KALAJDZIC,29,65.52
ORLANDO MOSQUERA,13,15.38
JORDAN WHITE,15,66.67
JOSE MIGUEL BORREGO,23,69.57
JOHN DOCHERTY,13,69.23
GEORGE RINCON,13,53.85
WALTER MATIAS LEIVA,13,7.69
NURALI ERDOGAN,13,7.69
GERMAINE BROWN,13,23.08
AVERY SPARROW,16,25
BEN KITE,26,26.92
FRANKLIN GONZALEZ,26,96.15
JOHN BOPAPE,20,55
ROFHIWA NEMUSHUNGWA,23,13.04
CHARLEMAGNE METONYEKPON,11,9.09
NATH NWACHUKWU,12,25
RYUKYU OHO,14,35.71
MICHAL LESNIAK,18,22.22
MAHMOUD CHARR,37,51.35
JOSELITO VELAZQUEZ,16,62.5
PABLO VICENTE,22,72.73
OLEKSANDR ZAKHOZHYI,17,76.47
DOM HUNT,11,9.09
KOEN MAZOUDIER,12,33.33
ANDRES GUTIERREZ,42,59.52
JOSEPH WARD,8,50
OLANREWAJU DURODOLA,47,74.47
NKULULEKO MHLONGO,34,52.94
ARAN DIPAEN,17,70.59
RYAN WALSH,33,36.36
MARCOS NADER,27,22.22
ADAM DEINES,24,50
PRINCE PATEL,28,71.43
ESTEVAN VILLALOBOS,18,66.67
KANEHIRO NAKAGAWA,18,27.78
ROBERT PARZECZEWSKI,31,54.84
KENICHI HORIKAWA,59,23.73
HIROYUKI KUDAKA,51,21.57
SIBUSISO ZINGANGE,26,15.38
BILLEL DIB,29,44.83
KAMSHYBEK KUNKABAYEV,5,80
JOEL CAMILLERI,33,36.36
ELTON DHARRY,33,45.45
RYUTO OHO,20,25
ARDA AVCI,11,100
JONATHAN ROJAS JARDINES,8,37.5
AKANI PHUZI,14,42.86
NATHAN GORMAN,20,65
TAKUYA MIZUNO,22,63.64
DELANTE JOHNSON,5,80
JOSE VELASQUEZ,40,50
NURTAS AZHBENOV,13,30.77
SAM SOLIMAN,68,27.94
SLAWA SPOMER,16,50
KAZUKI ANAGUCHI,3,66.67
RYUSEI KAWAURA,10,60
RYNO LIEBENBERG,33,42.42
ANTONIO NIEVES,25,44
APICHET PETCHMANEE,12,33.33
EMILIANO EXEQUIEL PUCHETA,23,30.43
MIGUEL CONTRERAS,14,42.86
VINCE PARAS,20,75
HEMI AHIO,19,73.68
NATHANIEL COLLINS,11,45.45
MATTEO HACHE,10,30
ALEJANDRO JAIR GONZALEZ,17,35.29
CHARLES SHINIMA,14,71.43
ARMANDO MARTINEZ RABI,8,87.5
DERICK MILLER JR,10,60
ARIEL PEREZ DE LA TORRE,9,66.67
MPUMELELO TSHABALALA,8,50
ANGEL ACOSTA,26,84.62
GASAN GASANOV,29,48.28
BRENDON DENES,11,54.55
ANDRES CAMPOS,14,21.43
VIKTAR MURASHKIN,8,37.5
LIAM TAYLOR,27,40.74
NATHAN HEANEY,15,40
EDGAR ESPINOSA VARGAS,10,60
CARLOS JACKSON,19,57.89
NICHOLAS ESPOSITO,17,29.41
CHRIST ESABE,12,25
MIGUEL MARRIAGA,36,72.22
RODRIGO DAMIAN CORIA,14,14.29
MICHAEL ANSAH,35,48.57
WENDY TOUSSAINT,15,40
EDUARDO JAVIER ABREU,15,60
JOSE LARDUET,9,77.78
FRANKLIN MANZANILLA,28,67.86
ANDREW CAIN,10,90
LAID DOUADI,22,9.09
ARAR ANDALES,17,35.29
ISAAC LOWE,26,23.08
XOLANI MCOTHELI,26,46.15
TENTARO KIMURA,11,0
JAOUAD BELMEHDI,19,36.84
PHONGSAPHON PANYAKUM,16,43.75
NIKITA KUZNETSOV,17,35.29
ALBERTO MOSQUERA,36,44.44
MPONDA KALUNGA,12,25
DANRICK SUMABONG,15,60
JUNIOR YOUNAN,18,61.11
WILFREDO MENDEZ,19,31.58
MAXIMILIANO NICOLAS SEGURA,15,73.33
MERITON KARAXHA,38,26.32
JAN LODZIK,7,14.29
CORI GIBBS,17,17.65
ABIMBOLA OSUNDAIRO,4,75
BAKHROMJON FOZILOV,13,61.54
ANTHONY OLASCUAGA,4,50
JHON JADER OBREGON,10,40
SEAN MCCOMB,15,33.33
YANIS MEHAH,11,27.27
JONATHAN WILSON SANCHEZ,28,32.14
JUAN FELIX GOMEZ,12,16.67
JOHANN DUHAUPAS,46,56.52
LUIS TORRES VALENZUELA,16,62.5
KEN KOIBUCHI,14,50
FREDDY KIWITT,25,48
QUINTON RANDALL,11,18.18
ABEL MINA,18,44.44
RICHARD VANSICLEN,13,46.15
TSUBASA MURACHI,10,30
TOMAS SHIFIONA,7,28.57
OSCAR DIAZ,10,50
IN DUCK SEO,19,42.11
BUJAR TAHIRI,11,63.64
ZHORA HAMAZARYAN,17,52.94
IMMANUEL JOSEF,18,38.89
JUAN CARRILLO,8,75
OLEH DOVHUN,14,35.71
LAUREANO SCIUTO,10,70
BRADLEY SKEETE,33,42.42
ARDREAL HOLMES,12,41.67
ROBERT PARADERO,21,57.14
RIKU KANO,25,40
DEANDRE WARE,21,42.86
GENC PLLANA,14,35.71
VIRGEL VITOR,21,57.14
BILAL LAGGOUNE,30,46.67
ADRIAN MARCELO SASSO,22,40.91
ERIK ROBLES AYALA,11,63.64
OLIVIER VAUTRAIN,23,34.78
SHAKAN PITTERS,19,31.58
LUKASZ MACIEC,34,14.71
ROSENDO HUGO GUARNEROS,26,34.62
YURY KASHINSKY,23,78.26
ALEJANDRO ESPINOZA TINOCO,21,42.86
LEANDRO ARIEL FONSECA,14,42.86
GIFT BHOLO,21,23.81
ANGEL ANTONIO CONTRERAS,19,31.58
JUAN JAVIER CARRASCO,15,53.33
VASILE CEBOTARI,11,36.36
GREG VENDETTI,28,42.86
ERIDSON GARCIA,17,64.71
JAYR RAQUINEL,15,60
MANUEL REY ROJAS,27,22.22
HEYBATULLA HAJIALIYEV,12,25
SAULO MORALES SALDIVAR,10,80
CARLOS BUITRAGO,45,44.44
MIGUEL GONZALEZ,35,25.71
HAKIM LOPEZ,14,57.14
SERGIO CHIRINO SANCHEZ,19,57.89
JACK MULOWAYI,15,46.67
MIKAEL ZEWSKI,38,60.53
MARIO GUTIERREZ,13,38.46
CARLOS NEGRON,28,71.43
RESHAT MATI,12,58.33
JALAN WALKER,12,75
DAMIAN ALEJANDRO ROJAS,19,57.89
STEFAN VODA,11,45.45
MARK ANTHONY GERALDO,52,36.54
TOM DZEMSKI,21,52.38
MOUGHIT EL MOUTAOUAKIL,22,45.45
JORGE MATA CUELLAR,17,58.82
RUSLAN FAYFER,32,56.25
ANDONI GAGO,34,20.59
UWEL HERNANDEZ,15,46.67
LUIS CASTILLO,21,61.9
RONIEL IGLESIAS,2,50
MARK REYES JR,16,75
GO HOSAKA,7,57.14
HUSEYIN CINKARA,18,83.33
BRAD PAULS,16,56.25
JOSE SANMARTIN,39,53.85
SAMUEL GONZALEZ,31,41.94
AITOR NIETO,34,29.41
YONATAN GUZMAN PENA,28,85.71
JONAS MATHEUS,20,10
YASUHIRO KANZAKI,11,18.18
DONG KWAN LEE,20,35
BRANDON PEREZ CHAVERO,10,20
NARUMI YUKAWA,5,80
ELYSSON MARQUEZ,16,50
ISAAC LUCERO,11,63.64
JOEY CANOY,26,38.46
KYOHEI TONOMOTO,16,31.25
RYOICHI TAMURA,22,31.82
JON FERNANDEZ,24,79.17
MICHAEL DUTCHOVER,19,52.63
CHRISTOPHER OUSLEY,14,64.29
YUKI NAKAJIMA,8,62.5
RAFAEL BEJARAN,38,34.21
LEANDRO JOSE BLANC,6,50
FRANCO EZEQUIEL ACOSTA,12,75
JOHAN SEGURA,10,70
VASIL DUCAR,18,55.56
IRVIN GONZALEZ,18,61.11
KHASAN BAYSANGUROV,23,47.83
YOEL ALBERTO PERALTA,13,15.38
JERRY PEREZ,15,73.33
SHAKEEL PHINN,27,59.26
JOSE L. MARTINEZ-MERCADO,26,53.85
ADAM AZIM,6,83.33
JEAN GARDY FRANCOIS,3,66.67
YOANKI URRUTIA,8,62.5
HORACIO GARCIA,42,59.52
VICTOR REYES BERNABE,22,59.09
HUMBERTO GALINDO,17,64.71
JUNIOR FA,21,47.62
MIGUEL MADUENO,28,89.29
MIKITO NAKANO,6,83.33
KAMIL BEDNAREK,11,54.55
BRYAN PEREZ CASTILLO,18,66.67
TAKUYA UEHARA,19,57.89
STANISLAV KALITSKIY,15,26.67
JAMES BROWNING,9,77.78
AUSTIN AOKUSO,4,50
IBRAHIM GUEMUES,21,95.24
DIEGO ALBERTO RUIZ,29,41.38
SAM GILLEY,15,46.67
KITTITHAT UNGSRIVONGS,21,52.38
JEFF MAGAGANE,20,20
JOSEPH AMBO,14,50
MARCIN SIWY,26,46.15
PADDY DONOVAN,9,66.67
BRIAN DAMIAN CHAVES,17,29.41
KEIVER FERNANDEZ,27,48.15
ADRIANO SPERANDIO,16,12.5
OZIEL SANTOYO,16,50
BRANDON MOORE,12,58.33
JESSY PETIT JEAN,18,44.44
LUIS AGUERO,13,53.85
HASIBULLAH AHMADI,14,35.71
CHRISTIAN HAMMER,37,45.95
TSUBASA NARAI,10,70
KEYVIN LARA,38,28.95
DENIS DOUGLIN,31,48.39
NATTAPONG JANKAEW,11,54.55
BAKARY SAMAKE,10,60
QAIS ASHFAQ,11,45.45
VICTORIO SALUDAR,27,40.74
MARIUSZ WACH,45,42.22
LUIS ALBERTO VERON,26,34.62
THOMAS ESSOMBA,19,21.05
SANTOS REYES,12,25
GUIDO VIANELLO,10,90
SITHEMBISO MADUNA,13,15.38
NATHAN WEBBER,11,27.27
YANIEL EVANDER RIVERA,8,37.5
SERGIO MENDOZA CORDOVA,17,94.12
LAZARO ALVAREZ,1,0
PABLO CARRILLO,37,45.95
MARTIN HARKIN,17,35.29
CARLOS DANIEL CORDOBA,25,12
ESNETH DOMINGO,18,44.44
RONNY MITTAG,40,40
SIMON MADSEN,13,76.92
LASZLO TOTH,39,48.72
JACK RAFFERTY,19,57.89
ROLDAN ALDEA,26,38.46
DAIKI TOMITA,20,30
EDWARD HENO,21,23.81
MARCUS LEBOGO,18,11.11
BRYAN DE GRACIA,31,77.42
FAROUKH KOURBANOV,23,13.04
JESUS HARO,10,0
ERNESTO MERCADO,7,100
RYAN KELLY,20,40
BOYD ALLEN,8,50
MIKAEL LAWAL,16,62.5
MARCOS ESCUDERO,14,71.43
TOMMY FRANK,18,16.67
MIGUEL ANGEL HERRERA,32,25
LUIS QUINONES,10,60
DANAI NGIABPHUKHIAW,15,40
ALEKSEI EVCHENKO,37,24.32
JORGE CASTANEDA,17,64.71
ABDULAZIZ KUNERT,12,16.67
JUKIYA IIMURA,3,33.33
VINCENT LEGRAND,34,50
DAVID ADELEYE,9,88.89
LUIS CONCEPCION,49,59.18
RASHIB MARTINEZ VALADEZ,21,38.1
RICARDO RUBEN VILLALBA,28,28.57
GABIL MAMEDOV,1,0
MEKHDI ABDURASHEDOV,11,45.45
JONATHAN JOSE HERNANDEZ,6,83.33
ABUBAKARSIDIK MAGOMADOV,6,66.67
KANE GARDNER,17,41.18
MARIOS MATAMBA,14,71.43
NEWFEL OUATAH,24,41.67
ROLLY LAMBERT FOGOUM,16,75
TONI KRAFT,20,25
ALEX RINCON,10,70
JOSE SANCHEZ CHARLES,23,52.17
ALEX WALTERS,16,50
LUKAS DEKYS,7,42.86
CARLOS DIAZ,33,42.42
CARLOS NORBERTO LOPEZ,20,35
LUIS HERNANDEZ RAMOS,24,83.33
IVAN ZUCCO,16,87.5
NATHANAEL KAKOLOLO,19,31.58
DEION JUMAH,15,46.67
TAKAYUKI OKUMOTO,39,28.21
HAYATO TSUTSUMI,1,0
MEHDI MOUHIB,23,52.17
GERALDO VALDEZ,14,64.29
ARMANDO APPEL,13,38.46
WANIK AWDIJAN,30,36.67
VINCENZO PICARDI,8,12.5
IZUKI TOMIOKA,14,14.29
ANDERSON DENER,8,62.5
UMUT CAMKIRAN,18,94.44
TIMUR KEREFOV,13,53.85
PIERCE O'LEARY,10,60
RYUYA NIHEI,11,9.09
RICARDO ESPINOZA FRANCO,30,73.33
ALEXIS ESPINO,11,54.55
SAMUEL VARGAS,41,34.15
STELIOS PAPADOPOULOS,16,31.25
JACKSON JON ENGLAND,15,53.33
JHON GEMINO,38,34.21
COSTIN ION,14,28.57
VLADIMIR NIKITIN,9,22.22
BRUNO SURACE,23,13.04
AGUSTIN MAURO GAUTO,18,66.67
TERVEL PULEV,17,76.47
DANIEL LUGO,26,61.54
KOTARO SEKINE,4,75
ADRIAN ROBLES NUNGARAY,5,100
VLADIMIR SARUKHANYAN,16,37.5
SUKHDEEP SINGH BHATTI,13,38.46
BRIAN AGUSTIN ARREGUI,6,66.67
CONAH WALKER,13,23.08
LUSIZO MANZANA,11,36.36
DIYAB SIMON DABSCHAH,20,95
JUMA CHOKI,6,33.33
MARTIN FORU,7,28.57
GUSTAVO PINA MELGAR,16,31.25
ALBERTO RUIZ IBARRA,15,53.33
SEFER SEFERI,29,79.31
ARNOLD KHEGAI,20,55
GIORGI KUSHITASHVILI,2,100
KEVIN NEWMAN II,18,50
JOSE GOMEZ,23,34.78
DON YVES MIKAEL TAHA,10,10
REI NAKAJIMA,6,0
VICTOR EFRAIN SANDOVAL,39,58.97
CARLOS MARIA ALANIS,9,22.22
SOLOMON DACRES,4,25
JOSE OSADO,13,38.46
ISMAIL GALIATANO,18,16.67
KHALIL COE,4,50
DARVIN GALEANO,13,61.54
STEVEN BAGWASI,9,22.22
DAVID GLADUN,8,50
ALEXANDER MEJIA,23,34.78
ZACHARY OCHOA,24,29.17
DYLAN CHEEMA,7,28.57
JESUS AMPARAN,22,68.18
TWAHA KASSIM,28,28.57
JAIRO NORIEGA,12,25
JAIR VALTIERRA,18,44.44
YELSHAT NIKHEMTTOLLA,18,27.78
TOSHIKI KAWAMITSU,8,50
JOSH TORRES,34,41.18
CHARLES FOSTER,21,52.38
JAY HARRIS,22,45.45
BEN MANANQUIL,24,20.83
KENSHIN OSHIMA,10,30
MANUEL FLORES,13,76.92
WILLMANK CANONICO BRITO,16,62.5
SOULEIMANE MOHAMMEDI,10,10
FILLEMON NGHUTENANYE,10,20
IHOR SHEVADZUTSKYI,10,80
KENNY DEMECILLO,23,43.48
CHRISTIAN URUZQUIETA,28,25
FREDDY LAINEZ,18,55.56
RIKU KUNIMOTO,7,28.57
YUKI NONAKA,49,20.41
JAYSON MAMA,18,50
MIKHEIL BAKHTIDZE,6,66.67
HARUKI ISHIKAWA,13,53.85
ABRAM MARTINEZ,11,63.64
RICHARD BREWART JR,12,33.33
MARK MCKEOWN,8,25
BEKZAD NURDAULETOV,5,40
CHRISTON EDWARDS,17,35.29
LUIS CORIA,18,38.89
YAHYA TLAOUZITI,27,29.63
DANIEL GONZALEZ,25,28
JOEY DAWEJKO,36,36.11
CEM KILIC,18,61.11
AYABONGA SONJICA,11,72.73
KEENAN CARBAJAL,28,57.14
ANDRII TSIURA,6,66.67
JOE CUSUMANO,25,76
MONEY POWELL IV,14,57.14
AYRTON OSMAR GIMENEZ,17,17.65
PABLO EZEQUIEL CORZO,12,91.67
SEBASTIAN SLUSARCZYK,10,60
PATRICK ALLOTEY,46,69.57
KENNY ROBLES,11,27.27
SAMUEL NMOMAH,17,29.41
SAID CHINO,31,45.16
XOLISANI NDONGENI,32,53.13
CYRIL LEONET,31,22.58
ELIJAH LORENZO GARCIA,11,81.82
RUBEN EDUARDO AGUILAR,19,78.95
NERI ARIEL CRUZ ROMERO,16,56.25
RONAL BATISTA,16,50
ALEJANDRO PAULINO,11,81.82
SHAMIL KHATAEV,9,22.22
